isolate,year,country,source,lineage,accession
2007003644,2007,KEN,sheep,C,EU574006
2007004193,2007,KEN,cow,C,EU574005
2007004194,2007,KEN,cow,C,EU574004
201707024,2017,UGA,human,C,MG972972
SPU86/09,2009,ZAF,cow,C,KY126683
Kenya 83 (21445),1983,KEN,mosquito,C,DQ375402
Saudi 2000-10911,2000,SAU,human,C,DQ375401
Kenya 9800523,1998,KEN,human,C,DQ375400
201707023,2017,UGA,human,C,MG972975
201707025,2017,UGA,human,C,MG972978
SPU52/99/1,1999,ZAF,buffalo,C,KY126689
Namibia_2011,2011,NAM,springbok,C,MT561464
DVS-230,2021,KEN,cow,C,OM744375
DVS-321,2021,KEN,cow,C,OM744376
DVS-333,2021,KEN,cow,C,OM744377
DVS-356,2021,KEN,cow,C,OM744378
2007002482,2007,KEN,cow,C,EU574009
2007002476,2007,KEN,cow,C,EU574010
2007003081,2007,KEN,cow,C,EU574007
2007002444,2007,KEN,cow,C,EU574012
2007000080,2007,KEN,cow,C,EU574030
2007000094,2007,KEN,cow,C,EU574029
2007000222,2007,KEN,cow,C,EU574028
M39/08,2008,ZAF,buffalo,C,KX944864
2007000224,2007,KEN,cow,C,EU574026
2007000225,2007,KEN,cow,C,EU574025
2007000473,2007,KEN,sheep,C,EU574024
2007000608,2007,KEN,cow,C,EU574023
2007000611,2007,KEN,cow,C,EU574022
2007001107,2007,KEN,cow,C,EU574020
2007001292,2007,KEN,cow,C,EU574019
M47/08,2008,ZAF,cow,C,KX944865
2007001443,2007,KEN,cow,C,EU574018
2007001564,2007,KEN,cow,C,EU574017
2007001602,2007,KEN,cow,C,EU574016
2007000618,2007,KEN,cow,C,EU574021
2007001809,2006,KEN,caprine,C,EU574015
2007001811,2006,KEN,caprine,C,EU574014
2007002060,2007,KEN,cow,C,EU574013
2007002445,2007,KEN,cow,C,EU574011
73HB1230,1973,CAF,human,D,DQ375425
74HB59,1974,CAF,human,E,DQ375415
1260/78,1978,ZWE,cow,E,DQ375418
73HB1449,1974,CAF,human,E,DQ375416
Ar20364,1981,ZAF,mosquito,F,KY126688
56/74_4255,1974,ZAF,cow,F,OM744400
ANK-6087,1984,GIN,bat,G,DQ375421
ANK-3837,1981,GIN,bat,G,DQ375420
SA67/11,2011,ZAF,human,H,MG659890
SA770/10,2010,ZAF,human,H,MG659871
SA746/10,2010,ZAF,human,H,MG659870
SA705/10,2010,ZAF,human,H,MG659869
SA665/10,2010,ZAF,human,H,MG659868
SA638/10,2010,ZAF,human,H,MG659867
SA635/10,2010,ZAF,human,H,MG659866
SA633/10,2010,ZAF,human,H,MG659865
SA632/10,2010,ZAF,human,H,MG659864
SA591/10,2010,ZAF,human,H,MG659863
SA538/10,2010,ZAF,human,H,MG659862
SA535/10,2010,ZAF,human,H,MG659861
SA509/10,2010,ZAF,human,H,MG659860
SA482/10,2010,ZAF,human,H,MG659858
SA472/10,2010,ZAF,human,H,MG659857
SA424/10,2010,ZAF,human,H,MG659856
SA420/10,2010,ZAF,human,H,MG659855
SA414/10,2010,ZAF,human,H,MG659854
SA395/10,2010,ZAF,human,H,MG659853
SA394/10,2010,ZAF,human,H,MG659852
SA377/10,2010,ZAF,human,H,MG659851
SA344/10,2010,ZAF,human,H,MG659850
SA336/10,2010,ZAF,human,H,MG659849
SA322/10,2010,ZAF,human,H,MG659848
SA484/10,2010,ZAF,human,H,MG659859
SA918/10,2010,ZAF,human,H,MG659872
Namibia_2010,2010,NAM,sheep,H,MT561461
SA1061/10,2010,ZAF,human,H,MG659873
SA295/11,2011,ZAF,human,H,MG659891
SA320/11,2011,ZAF,human,H,MG659892
SA327/11,2011,ZAF,human,H,MG659893
SA1601/10,2010,ZAF,human,H,MG659888
SA1518/10,2010,ZAF,human,H,MG659887
SA1457/10,2010,ZAF,human,H,MG659886
SA1405/10,2010,ZAF,human,H,MG659885
SA1372/10,2010,ZAF,human,H,MG659884
SA1329/10,2010,ZAF,human,H,MG659883
SA1282/10,2010,ZAF,human,H,MG659882
SA342/11,2011,ZAF,human,H,MG659894
SA1224/10,2010,ZAF,human,H,MG659881
SA1171/10,2010,ZAF,human,H,MG659880
SA1143/10,2010,ZAF,human,H,MG659879
SA1098/10,2010,ZAF,human,H,MG659878
SA1095/10,2010,ZAF,human,H,MG659877
SA359/11,2011,ZAF,human,H,MG659895
SA389/11,2011,ZAF,human,H,MG659896
SA579/11,2011,NAM,human,H,MG659897
SA317/10,2010,ZAF,human,H,MG659847
SA1167/10,2010,ZAF,human,H,MG659876
SA1092/10,2010,ZAF,human,H,MG659875
SA1081/10,2010,ZAF,human,H,MG659874
SA1797/10,2010,ZAF,human,H,MG659889
SA287/10,2010,ZAF,human,H,MG659846
SA982/10,2010,ZAF,human,H,KY126672
SA250/10,2010,ZAF,human,H,MG659844
SA494/11,2011,ZAF,human,H,KY126677
SA354/11,2011,ZAF,human,H,KY126676
SA1796/10,2010,ZAF,human,H,KY126675
SA1222/10,2010,ZAF,human,H,KY126674
SA1094/10,2010,ZAF,human,H,KY126673
SA257/10,2010,ZAF,human,H,MG659845
SA276/10,2010,ZAF,human,H,KY126670
SA275/10,2010,ZAF,human,H,KY126669
SPU162/10,2010,ZAF,human,H,KY126667
SA129/10,2010,ZAF,human,H,KY126666
SPU105/10,2010,ZAF,human,H,KY126665
M33/10,2010,ZAF,sheep,H,KX944862
M29/10,2010,ZAF,cow,H,KX944861
M260/09,2009,ZAF,cow,H,KX944860
M259/09,2009,ZAF,cow,H,KX944859
M25/10,2010,ZAF,sheep,H,KX944858
M247/09,2009,ZAF,sheep,H,KX944857
M21/10,2010,ZAF,sheep,H,KX944856
M19/10,2010,ZAF,sheep,H,KX944853
M16/10,2010,ZAF,sheep,H,KX944852
M127/09,2009,ZAF,cow,H,KX944851
M12/10,2010,ZAF,sheep,H,KX944850
M06/10,2010,ZAF,cow,H,KX944849
SPU404/09,2009,ZAF,human,H,KY126684
272660,2015,MRT,human,H,KY366330
SA573/10,2010,ZAF,human,H,KY126671
SA128/10,2010,ZAF,human,H,MG659837
SA135/10,2010,ZAF,human,H,MG659838
SA220/10,2010,ZAF,human,H,MG659841
SPU126/10,2010,ZAF,human,H,MG659836
SA122/10,2010,ZAF,human,H,MG659835
SA110/10,2010,ZAF,human,H,MG659834
SA106/10,2010,ZAF,human,H,MG659833
SA103/10,2010,ZAF,human,H,MG659832
SA226/10,2010,ZAF,human,H,MG659843
SPU100/10,2010,ZAF,human,H,MG659831
SPU97/10,2010,ZAF,human,H,MG659830
SA95/10,2010,ZAF,human,H,MG659829
SA225/10,2010,ZAF,human,H,MG659842
SA93/10,2010,ZAF,human,H,MG659828
SPU86/10,2010,ZAF,human,H,MG659827
SA85/10,2010,ZAF,human,H,MG659826
SA79/10,2010,ZAF,human,H,MG659825
SA76/10,2010,ZAF,human,H,MG659824
SA71/10,2010,ZAF,human,H,MG659823
SPU68/10,2010,ZAF,human,H,MG659822
SA62/10,2010,ZAF,human,H,MG659821
SPU59/10,2010,ZAF,human,H,MG659820
SA206/10,2010,ZAF,human,H,MG659840
SA165/10,2010,ZAF,human,H,MG659839
Ar74,1955,ZAF,mosquito,I,KY126685
An1830,1956,ZAF,sheep,I,KY126686
2269/74,1974,ZWE,cow,J,DQ375434
B314,1962,KEN,cow,K,MG659898
2373/74,1974,ZWE,cow,K,DQ375432
SA184/10,2010,ZAF,human,K,KY126668
Entebbe,1944,UGA,mosquito,K,DQ375429
Kenya 56 (IB8),1965,KEN,cow,L,DQ375427
SA-75,1975,ZAF,human,L,DQ375428
763/70,1970,ZWE,cow,L,DQ375426
Ar12568,1971,ZAF,bat,L,KY126687
M1955,1955,ZAF,unknown,L,KX944854
M1975/Bov,1975,ZAF,cow,L,KX944855
M57/74,1974,ZAF,unknown,L,KX944867
35/74,1974,ZAF,sheep,L,JF784386
Ar 118,1955,ZAF,mosquito,M,MG659819
HD21955,1975,SEN,human,N,MG659904
OS-1,1987,MRT,human,N,DQ375398
OS-8,1987,MRT,human,N,DQ375395
OS-3,1987,MRT,human,N,DQ375396
OS-9,1987,MRT,human,N,DQ375397
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ375433
