isolate,year,country,source,lineage,accession
SA01-1322,2001,SAU,mosquito,C,KX096943
KEN/Gar-008/06,2006,KEN,human,C,HM586976
Sudan 28-2010,2010,SDN,human,C,JQ820474
Sudan 2V-2007,2007,SDN,human,C,JQ820472
Sudan 86-2010,2010,SDN,human,C,JQ820477
201601502,2016,UGA,human,C,MG953426
KEN/Gar-004/06,2006,KEN,human,C,HM586975
2007000223,2007,KEN,cow,C,EU574084
2008/00099,2008,MYT,human,C,HE687302
2008/00101,2008,MYT,human,C,HE687307
2007003644,2007,KEN,sheep,C,EU574059
2007004193,2007,KEN,cow,C,EU574058
2007004194,2007,KEN,cow,C,EU574057
201707024,2017,UGA,human,C,MG972974
SPU86/09,2009,ZAF,cow,C,KY196505
Kenya 83 (21445),1983,KEN,mosquito,C,DQ380171
Saudi 2000-10911,2000,SAU,human,C,DQ380170
Kenya 9800523,1998,KEN,human,C,DQ380169
201707023,2017,UGA,human,C,MG972977
201707025,2017,UGA,human,C,MG972980
SPU52/99/1,1999,ZAF,buffalo,C,KY196511
Namibia_2011,2011,NAM,springbok,C,MT561462
DVS-230,2021,KEN,cow,C,OM744370
DVS-321,2021,KEN,cow,C,OM744371
DVS-333,2021,KEN,cow,C,OM744372
DVS-356,2021,KEN,cow,C,OM744373
2007002482,2007,KEN,cow,C,EU574062
2007002476,2007,KEN,cow,C,EU574063
2007003081,2007,KEN,cow,C,EU574060
2007002444,2007,KEN,cow,C,EU574065
2007000080,2007,KEN,cow,C,EU574087
2007000094,2007,KEN,cow,C,EU574086
2007000222,2007,KEN,cow,C,EU574085
M39/08,2008,ZAF,buffalo,C,KX944818
2007000224,2007,KEN,cow,C,EU574083
2007000225,2007,KEN,cow,C,EU574082
2007000473,2007,KEN,sheep,C,EU574080
2007000608,2007,KEN,cow,C,EU574079
2007000611,2007,KEN,cow,C,EU574078
2007001107,2007,KEN,cow,C,EU574075
2007001292,2007,KEN,cow,C,EU574074
M47/08,2008,ZAF,cow,C,KX944819
2007001443,2007,KEN,cow,C,EU574073
2007001564,2007,KEN,cow,C,EU574072
2007001602,2007,KEN,cow,C,EU574071
2007000618,2007,KEN,cow,C,EU574077
2007001809,2006,KEN,caprine,C,EU574069
2007001811,2006,KEN,caprine,C,EU574068
2007002060,2007,KEN,cow,C,EU574066
2007002445,2007,KEN,cow,C,EU574064
73HB1230,1973,CAF,human,D,DQ380172
74HB59,1974,CAF,human,E,DQ380163
1260/78,1978,ZWE,cow,E,DQ380164
73HB1449,1974,CAF,human,E,DQ380162
Ar20364,1981,ZAF,mosquito,F,KY196510
56/74_4255,1974,ZAF,cow,F,OM744402
ANK-6087,1984,GIN,bat,G,DQ380166
ANK-3837,1981,GIN,bat,G,DQ380165
SA67/11,2011,ZAF,human,H,MG659976
SA770/10,2010,ZAF,human,H,MG659957
SA746/10,2010,ZAF,human,H,MG659956
SA705/10,2010,ZAF,human,H,MG659955
SA665/10,2010,ZAF,human,H,MG659954
SA638/10,2010,ZAF,human,H,MG659953
SA635/10,2010,ZAF,human,H,MG659952
SA633/10,2010,ZAF,human,H,MG659951
SA632/10,2010,ZAF,human,H,MG659950
SA591/10,2010,ZAF,human,H,MG659949
SA538/10,2010,ZAF,human,H,MG659948
SA535/10,2010,ZAF,human,H,MG659947
SA509/10,2010,ZAF,human,H,MG659946
SA482/10,2010,ZAF,human,H,MG659944
SA472/10,2010,ZAF,human,H,MG659943
SA424/10,2010,ZAF,human,H,MG659942
SA420/10,2010,ZAF,human,H,MG659941
SA414/10,2010,ZAF,human,H,MG659940
SA395/10,2010,ZAF,human,H,MG659939
SA394/10,2010,ZAF,human,H,MG659938
SA377/10,2010,ZAF,human,H,MG659937
SA344/10,2010,ZAF,human,H,MG659936
SA336/10,2010,ZAF,human,H,MG659935
SA322/10,2010,ZAF,human,H,MG659934
SA484/10,2010,ZAF,human,H,MG659945
SA918/10,2010,ZAF,human,H,MG659958
Namibia_2010,2010,NAM,sheep,H,MT561459
SA1061/10,2010,ZAF,human,H,MG659959
SA295/11,2011,ZAF,human,H,MG659977
SA320/11,2011,ZAF,human,H,MG659978
SA327/11,2011,ZAF,human,H,MG659979
SA1601/10,2010,ZAF,human,H,MG659974
SA1518/10,2010,ZAF,human,H,MG659973
SA1457/10,2010,ZAF,human,H,MG659972
SA1405/10,2010,ZAF,human,H,MG659971
SA1372/10,2010,ZAF,human,H,MG659970
SA1329/10,2010,ZAF,human,H,MG659969
SA1282/10,2010,ZAF,human,H,MG659968
SA342/11,2011,ZAF,human,H,MG659980
SA1224/10,2010,ZAF,human,H,MG659967
SA1171/10,2010,ZAF,human,H,MG659966
SA1143/10,2010,ZAF,human,H,MG659965
SA1098/10,2010,ZAF,human,H,MG659964
SA1095/10,2010,ZAF,human,H,MG659963
SA359/11,2011,ZAF,human,H,MG659981
SA389/11,2011,ZAF,human,H,MG659982
SA579/11,2011,NAM,human,H,MG659983
SA317/10,2010,ZAF,human,H,MG659933
SA1167/10,2010,ZAF,human,H,MG659962
SA1092/10,2010,ZAF,human,H,MG659961
SA1081/10,2010,ZAF,human,H,MG659960
SA1797/10,2010,ZAF,human,H,MG659975
SA287/10,2010,ZAF,human,H,MG659932
SA982/10,2010,ZAF,human,H,KY196494
SA250/10,2010,ZAF,human,H,MG659930
SA494/11,2011,ZAF,human,H,KY196499
SA354/11,2011,ZAF,human,H,KY196498
SA1796/10,2010,ZAF,human,H,KY196497
SA1222/10,2010,ZAF,human,H,KY196496
SA1094/10,2010,ZAF,human,H,KY196495
SA257/10,2010,ZAF,human,H,MG659931
SA276/10,2010,ZAF,human,H,KY196492
SA275/10,2010,ZAF,human,H,KY196491
SPU162/10,2010,ZAF,human,H,KY196489
SA129/10,2010,ZAF,human,H,KY196488
SPU105/10,2010,ZAF,human,H,KY196487
M33/10,2010,ZAF,sheep,H,KX944816
M29/10,2010,ZAF,cow,H,KX944815
M260/09,2009,ZAF,cow,H,KX944814
M259/09,2009,ZAF,cow,H,KX944812
M25/10,2010,ZAF,sheep,H,KX944813
M247/09,2009,ZAF,sheep,H,KX944811
M21/10,2010,ZAF,sheep,H,KX944810
M19/10,2010,ZAF,sheep,H,KX944809
M16/10,2010,ZAF,sheep,H,KX944806
M127/09,2009,ZAF,cow,H,KX944804
M12/10,2010,ZAF,sheep,H,KX944805
M06/10,2010,ZAF,cow,H,KX944803
SPU404/09,2009,ZAF,human,H,KY196506
272660,2015,MRT,human,H,KY366328
SA573/10,2010,ZAF,human,H,KY196493
SA128/10,2010,ZAF,human,H,MG659923
SA135/10,2010,ZAF,human,H,MG659924
SA220/10,2010,ZAF,human,H,MG659927
SPU126/10,2010,ZAF,human,H,MG659922
SA122/10,2010,ZAF,human,H,MG659921
SA110/10,2010,ZAF,human,H,MG659920
SA106/10,2010,ZAF,human,H,MG659919
SA103/10,2010,ZAF,human,H,MG659918
SA226/10,2010,ZAF,human,H,MG659929
SPU100/10,2010,ZAF,human,H,MG659917
SPU97/10,2010,ZAF,human,H,MG659916
SA95/10,2010,ZAF,human,H,MG659915
SA225/10,2010,ZAF,human,H,MG659928
SA93/10,2010,ZAF,human,H,MG659914
SPU86/10,2010,ZAF,human,H,MG659913
SA85/10,2010,ZAF,human,H,MG659912
SA79/10,2010,ZAF,human,H,MG659911
SA76/10,2010,ZAF,human,H,MG659910
SA71/10,2010,ZAF,human,H,MG659909
SPU68/10,2010,ZAF,human,H,MG659908
SA62/10,2010,ZAF,human,H,MG659907
SPU59/10,2010,ZAF,human,H,MG659906
SA206/10,2010,ZAF,human,H,MG659926
SA165/10,2010,ZAF,human,H,MG659925
Ar74,1955,ZAF,mosquito,I,KY196507
An1830,1956,ZAF,sheep,I,KY196508
2269/74,1974,ZWE,cow,J,DQ380173
B314,1962,KEN,cow,K,MG659984
2373/74,1974,ZWE,cow,K,DQ380159
SA184/10,2010,ZAF,human,K,KY196490
Entebbe,1944,UGA,mosquito,K,DQ380156
Kenya 56 (IB8),1965,KEN,cow,L,DQ380176
SA-75,1975,ZAF,human,L,DQ380175
763/70,1970,ZWE,cow,L,DQ380174
Ar12568,1971,ZAF,bat,L,KY196509
M1955,1955,ZAF,unknown,L,KX944807
M1975/Bov,1975,ZAF,cow,L,KX944808
M57/74,1974,ZAF,unknown,L,KX944821
35/74,1974,ZAF,sheep,L,JF784388
Ar 118,1955,ZAF,mosquito,M,MG659905
HD21955,1975,SEN,human,N,MG659990
OS-1,1987,MRT,human,N,DQ380180
OS-8,1987,MRT,human,N,DQ380177
OS-3,1987,MRT,human,N,DQ380178
OS-9,1987,MRT,human,N,DQ380179
SA-51 (Van Wyck),1951,ZAF,sheep,O,DQ380158
